name,category,price,image_url
Veg Roll,Rolls & Starters,40,https://images.unsplash.com/photo-1626777552726-4a6b54c97e46?auto=format&fit=crop&w=800&q=80&dish=veg-roll
Paneer Roll,Rolls & Starters,60,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?auto=format&fit=crop&w=800&q=80&dish=paneer-roll
Egg Roll,Rolls & Starters,40,https://images.unsplash.com/photo-1627308595229-7830a5c91f9f?auto=format&fit=crop&w=800&q=80&dish=egg-roll
Double Egg Roll,Rolls & Starters,50,https://images.unsplash.com/photo-1565299585323-38d6b0865b47?auto=format&fit=crop&w=800&q=80&dish=double-egg-roll
Chicken Roll,Rolls & Starters,60,https://images.unsplash.com/photo-1601050690597-df0568f70950?auto=format&fit=crop&w=800&q=80&dish=chicken-roll
Egg Chicken Roll,Rolls & Starters,70,https://images.unsplash.com/photo-1606755962773-d324e0a13086?auto=format&fit=crop&w=800&q=80&dish=egg-chicken-roll
Veg Spring Roll,Rolls & Starters,60,https://images.unsplash.com/photo-1544025162-d76694265947?auto=format&fit=crop&w=800&q=80&dish=veg-spring-roll
Chicken Spring Roll,Rolls & Starters,100,https://images.unsplash.com/photo-1541696432-82c6da8ce7bf?auto=format&fit=crop&w=800&q=80&dish=chicken-spring-roll
Egg Spring Roll,Rolls & Starters,80,https://images.unsplash.com/photo-1534422298391-e4f8c172dddb?auto=format&fit=crop&w=800&q=80&dish=egg-spring-roll
Veg Burger,Rolls & Starters,50,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?auto=format&fit=crop&w=800&q=80&dish=veg-burger
Veg Pakora (6 Pcs),Rolls & Starters,60,https://images.unsplash.com/photo-1601050690117-94f5f6fa8bd7?auto=format&fit=crop&w=800&q=80&dish=veg-pakora-6-pcs
Chicken Fried Wonton,Rolls & Starters,140,https://images.unsplash.com/photo-1563245372-f21724e3856d?auto=format&fit=crop&w=800&q=80&dish=chicken-fried-wonton
Chicken Lolipop (4 Pcs),Rolls & Starters,120,https://images.unsplash.com/photo-1567620832903-9fc6debc209f?auto=format&fit=crop&w=800&q=80&dish=chicken-lolipop-4-pcs
Chicken Drumstick (4 Pcs),Rolls & Starters,150,https://images.unsplash.com/photo-1598515214211-89d3c73ae83b?auto=format&fit=crop&w=800&q=80&dish=chicken-drumstick-4-pcs
Chicken Dry Fry (7 Pcs),Rolls & Starters,130,https://images.unsplash.com/photo-1562967914-608f82629710?auto=format&fit=crop&w=800&q=80&dish=chicken-dry-fry-7-pcs
Chicken Pakora (6 Pcs),Rolls & Starters,140,https://images.unsplash.com/photo-1626777552726-4a6b54c97e46?auto=format&fit=crop&w=800&q=80&dish=chicken-pakora-6-pcs
Veg Momo (7 Pcs),Rolls & Starters,60,https://images.unsplash.com/photo-1625220194771-7ebdea0b70b9?auto=format&fit=crop&w=800&q=80&dish=veg-momo-7-pcs
Chicken Momo (7 Pcs),Rolls & Starters,80,https://images.unsplash.com/photo-1534422298391-e4f8c172dddb?auto=format&fit=crop&w=800&q=80&dish=chicken-momo-7-pcs
Veg Noodles,Veg Noodles,90,https://images.unsplash.com/photo-1585032226651-759b368d7246?auto=format&fit=crop&w=800&q=80&dish=veg-noodles
Veg Hakka Noodles,Veg Noodles,100,https://images.unsplash.com/photo-1612927601601-6638404737ce?auto=format&fit=crop&w=800&q=80&dish=veg-hakka-noodles
Veg Schezwan Noodles,Veg Noodles,100,https://images.unsplash.com/photo-1569718212165-3a8278d5f624?auto=format&fit=crop&w=800&q=80&dish=veg-schezwan-noodles
Veg Hongkong Noodle,Veg Noodles,100,https://images.unsplash.com/photo-1552611052-33e04de081de?auto=format&fit=crop&w=800&q=80&dish=veg-hongkong-noodle
Veg Singapore Noodles,Veg Noodles,100,https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=800&q=80&dish=veg-singapore-noodles
Veg Triple Noodles,Veg Noodles,100,https://images.unsplash.com/photo-1569718212165-3a8278d5f624?auto=format&fit=crop&w=800&q=80&dish=veg-triple-noodles
Veg Garlic Noodles,Veg Noodles,100,https://images.unsplash.com/photo-1612927601601-6638404737ce?auto=format&fit=crop&w=800&q=80&dish=veg-garlic-noodles
Veg Fortune Noodles,Veg Noodles,100,https://images.unsplash.com/photo-1585032226651-759b368d7246?auto=format&fit=crop&w=800&q=80&dish=veg-fortune-noodles
Veg Combination Noodles,Veg Noodles,100,https://images.unsplash.com/photo-1552611052-33e04de081de?auto=format&fit=crop&w=800&q=80&dish=veg-combination-noodles
Veg Paneer Noodles,Veg Noodles,120,https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=800&q=80&dish=veg-paneer-noodles
Veg Mushroom Noodles,Veg Noodles,120,https://images.unsplash.com/photo-1585032226651-759b368d7246?auto=format&fit=crop&w=800&q=80&dish=veg-mushroom-noodles
Veg Mix Noodle,Veg Noodles,140,https://images.unsplash.com/photo-1569718212165-3a8278d5f624?auto=format&fit=crop&w=800&q=80&dish=veg-mix-noodle
Egg Noodles,Non-Veg Noodles,110,https://images.unsplash.com/photo-1569718212165-3a8278d5f624?auto=format&fit=crop&w=800&q=80&dish=egg-noodles
Egg Schezwan Noodle,Non-Veg Noodles,120,https://images.unsplash.com/photo-1612927601601-6638404737ce?auto=format&fit=crop&w=800&q=80&dish=egg-schezwan-noodle
Egg Hongkong Noodle,Non-Veg Noodles,120,https://images.unsplash.com/photo-1552611052-33e04de081de?auto=format&fit=crop&w=800&q=80&dish=egg-hongkong-noodle
Egg Singapore Noodle,Non-Veg Noodles,120,https://images.unsplash.com/photo-1540420773420-3366772f4999?auto=format&fit=crop&w=800&q=80&dish=egg-singapore-noodle
